level,observed.sums,observed.means,ideal.sums,ideal.means,observed.rank.among.sims,pval,min.rank.among.sims
1,1362,85.125,1803,112.6875,501,0.501,49.3125
2,1365,85.3125,1698,106.125,511,0.511,50.875
3,1228,76.75,1170,73.125,229.5,0.2295,50.0625
4,914,70.3076923076923,974,74.92307692307692,138,0.138,40.53846153846154
5,798,79.8,874,87.4,378,0.378,38.2
6,783,78.3,830,83,351.5,0.3515,42.7
7,827,103.375,638,79.75,871.5,0.8715,35.5
8,565,80.71428571428571,481,68.71428571428571,419.5,0.4195,34.42857142857143
9,557,92.83333333333333,383,63.833333333333336,656,0.656,19.166666666666668
10,562,93.66666666666667,487,81.16666666666667,653,0.653,25.5
11,719,119.83333333333333,444,74,964.5,0.9645,29.333333333333336
12,329,54.833333333333336,183,30.5,64,0.064,19.333333333333332
13,584,97.33333333333333,594,99,700.5,0.7005,20.833333333333336
14,582,97,503,83.83333333333333,739.5,0.7395,18.666666666666668
15,416,69.33333333333333,648,108,197.5,0.1975,28.833333333333336
16,852,142,289,48.166666666666664,998,0.998,24.666666666666668
17,182,45.5,405,101.25,55.5,0.0555,12.5
18,347,86.75,151,37.75,535.5,0.5355,6.25
19,324,108,249,83,793.5,0.7935,5.333333333333333
20,157,78.5,297,148.5,423.5,0.4235,4.5
21,253,126.5,214,107,861,0.861,4.5
22,176,88,304,152,527,0.527,2.5
23,178,89,324,162,553.5,0.5535,2
24,20,20,154,154,110.5,0.1105,1
25,49,49,2,2,269.5,0.2695,1
26,38,38,68,68,211,0.211,1
27,41,41,94,94,245,0.245,1
28,124,124,73,73,749,0.749,1
29,33,33,31,31,220,0.22,1
