"PlcIndex","Easting","Northing"
1,484053.809192112,3021140.17549841
2,492092.129533754,3074543.25553861
3,492409.741101777,3074743.68503233
4,492564.494392553,3074767.0671315
5,506799.057331184,3092821.77778434
6,507160.377371041,3094214.26205286
7,506999.683211967,3094315.58804995
8,507171.264376241,3094580.13765158
9,521652.112021129,3004025.20606497
10,532526.869745256,3007642.74949926
11,536037.032161025,3009953.71422282
12,547449.82234895,3009524.46965559
13,539542.627455553,3027431.96124206
14,537852.720986467,3029480.67700248
15,537489.267505965,3029214.69297005
16,537396.785695866,3029279.30311849
17,537392.349386969,3029324.93248177
18,536482.078724184,3029064.17296687
19,536955.697820529,3029779.3133063
20,535552.670264338,3030087.66045535
21,535546.848414328,3030239.13113454
22,535933.824757912,3030387.3875488
23,536051.210201708,3030461.30307226
24,536159.580169603,3030771.20891265
6,534036.619356843,3030051.66405959
4,533521.309772461,3030040.2828349
9,533518.921502431,3029571.25339294
8,533435.612917451,3029158.83614995
35,569207.582580571,2975582.22063435
36,586446.507944125,3009548.13842035
38,594686.186573622,3025792.84989064
39,593952.850339699,3029686.85986457
40,593669.441297952,3029713.84351429
41,593707.275204703,3030480.73111055
43,593714.938391783,3030569.45679377
44,593939.362747236,3030580.12044332
45,593616.513193161,3030726.59965548
46,593693.49115613,3030792.40616766
35,593705.898763899,3030885.40939278
36,593720.18008855,3031164.11378593
37,593711.28211163,3031249.95552922
38,593681.382889057,3031395.04841351
51,593111.254180819,3031327.65041949
53,592783.706012747,3031140.19198155
NA,532752.331297005,3029394.60967956
NA,532973.973796426,3029182.43164471
NA,533026.291042469,3029140.56212665
NA,532502.050020133,3029786.26589744
NA,591484.132172623,3017654.82844565
NA,603772.163295781,3001125.41230206
NA,611114.954077643,3005098.84621446
NA,620802.029474764,2988871.98752183
NA,620938.040225182,2989085.84767742
NA,620520.297146284,2989383.47803926
NA,631407.712970582,3008497.18954533
NA,631768.744600729,3008732.12369662
NA,635791.424426916,3008661.21404705
NA,652315.4597163,3006610.84435798
NA,674094.190082437,3009065.52764143
NA,671821.200657865,3034000.52061846
NA,671982.148746481,3034089.57873397
NA,672477.301569593,3035257.29864251
NA,672288.453849542,3035359.51217448
NA,672064.199449937,3035495.46722121
NA,671958.868379985,3035713.9204748
NA,671706.070099294,3036192.73865415
NA,671784.595075221,3036445.03761651
NA,667637.996722997,3033008.21867805
NA,667551.113783963,3033007.82562503
NA,720894.850607587,3034533.13590235
NA,717001.970167758,3051791.90092825
NA,716410.016738086,3051550.76067886
NA,716314.252038425,3051871.67198364
NA,716280.362753315,3052532.08185291
NA,710478.422605382,3065536.28443245
NA,711637.007715313,3065738.70830788
NA,711504.050312554,3066216.41305809
NA,712379.841760685,3065704.24229573
NA,689036.104999203,3105808.67131913
NA,676811.632890494,3088937.97101265
NA,678253.630083233,3092239.003859
NA,630148.335472904,3052536.56145605
NA,629990.550940962,3053063.76782743
NA,629698.242833726,3052754.2392089
NA,629797.562010753,3052601.2916486
NA,617194.608204405,3057447.35705289
NA,608583.8845267,3061213.37971986
NA,476101.019293984,3025747.9669697
NA,623237.65625496,2963100.29659041
NA,623662.574554893,2963897.33631575
NA,623284.295484371,2964088.87688413
NA,623042.780339343,2964292.04388744
NA,622751.166747255,2964896.22237193
NA,622670.692042056,2965123.4253772
NA,622852.006887921,2965423.30598045
NA,623087.7353043,2965401.95699287
NA,624209.22860023,2967333.14077132
NA,624821.235676613,2967099.39335642
NA,624938.130553049,2967534.80094991
NA,639888.993865945,2981451.50805953
NA,643350.64378522,2983293.0593807
NA,550613.759988776,2973565.51477089
NA,649251.095734385,3034955.15945845
NA,648892.317086395,3034738.69069393
NA,648655.169496452,3034173.2231555
NA,646824.884219325,3031415.04778205
NA,646563.304651158,3031585.79599584
NA,646398.199610872,3031756.05475296
NA,646625.032449706,3031792.6126794
NA,646640.244351751,3031994.35181954
NA,647346.207025631,3032723.21078565
NA,647222.092881458,3032764.70216529
NA,647196.10227368,3032916.08013321
NA,646991.758544843,3033203.762938
NA,646986.244630935,3033293.84042673
NA,647075.087972147,3033433.74189998
NA,646862.094714636,3033462.93526956
NA,647451.013860187,3033600.30914057
NA,647508.980803027,3033730.49274956
NA,620584.796371768,2989531.36912473
NA,620416.733481225,2989576.34239051
NA,620357.917885338,2989554.38739323
NA,659671.681781565,3042276.95023726
NA,659965.667994656,3042036.81836638
NA,691844.4627558,3061985.23885272
NA,689421.803136816,3099867.53859447
NA,646355.635765699,3067251.84180905
NA,492767.205153764,3038212.90544603
NA,551104.486313971,2959451.49885259
NA,714496.958708302,2960398.67112445
NA,583011.7867406,2958297.82100805
NA,623897.561627072,2966768.54406798
NA,623954.41911771,2966665.16562619
NA,624131.764708092,2966620.54693114
NA,624405.795518683,2966602.41266778
NA,619160.570735048,2968645.3521694
NA,645285.64927635,2982095.75071917
NA,692429.212062741,2973133.63893453
NA,692405.210069865,2974333.31482914
NA,712765.193351162,2976220.25741548
NA,713450.258657153,2979596.37870327
NA,708838.111270869,2982243.43601312
NA,707002.690334106,2982670.81423732
NA,707056.541773947,2982949.09712343
NA,706685.992869101,2982810.79549261
NA,707005.964127978,2983314.64228786
NA,718676.484753382,2985372.12147277
NA,734782.493496226,2986668.10655426
NA,734322.453366846,2986775.96458503
NA,733648.390346183,2989824.42320573
NA,733792.402666178,2990165.74204997
NA,727902.590671814,2988353.29463491
NA,708145.638230501,2996187.43535978
NA,693736.433798588,2984273.58391818
NA,687900.887975525,2994885.34008921
NA,484032.710637319,2954550.17556845
NA,468439.192488331,3001851.65589263
NA,492784.671747439,3074097.52223859
NA,507061.415258328,3095534.75215768
NA,507069.359100093,3095656.47382963
NA,507218.775411448,3095690.50677152
NA,535937.330491176,3030291.43523441
NA,536927.595611263,3029722.12229852
NA,536258.570648834,3028920.22202445
NA,624501.513835814,2967085.52149403
NA,624261.440477735,2968622.90186849
NA,629125.286655162,2967337.44998156
NA,721263.563215705,3034501.9325849
NA,720826.635721919,3035880.73404073
