"ID1" "ID2" "d12"
2 3 375.57
2 4 522.7
3 4 156.51
6 7 189.97
6 8 366.04
7 8 315.32
14 15 450.38
14 16 498.43
14 17 486
14 19 945.43
15 16 112.82
15 17 146.79
15 19 776.85
16 17 45.84
16 18 939.66
16 19 666.76
17 18 946.88
17 19 630.18
18 19 857.75
20 21 151.58
20 22 484.89
20 23 623.02
20 24 914.1
21 22 414.4
21 23 551.13
21 24 811.51
22 23 138.72
22 24 445.29
23 24 328.31
6 4 515.44
6 9 706.26
4 9 469.04
4 8 885.6
9 8 420.75
39 40 284.69
39 41 830.99
39 43 914.1
39 44 893.36
40 41 767.82
40 43 856.82
40 44 907.36
41 43 89.06
41 44 252.47
41 45 262.09
41 46 311.98
41 35 404.68
41 36 683.5
41 37 769.23
41 38 914.68
43 44 224.68
43 45 185.42
43 46 223.98
43 35 316.08
43 36 594.68
43 37 680.51
43 38 826.27
43 51 969.17
44 45 354.53
44 46 324.84
44 35 384.33
44 36 623.77
44 37 707.6
44 38 854.79
45 46 101.27
45 35 182.24
45 36 449.63
45 37 531.87
45 38 671.59
45 51 785.21
45 53 929.85
46 35 93.83
46 36 372.66
46 37 457.9
46 38 602.76
46 51 790.88
46 53 973.99
35 36 279.07
35 37 364.59
35 38 510.23
35 51 741.07
35 53 956.74
36 37 86.3
36 38 234.17
36 51 630.5
36 53 936.78
37 38 148.14
37 51 605.04
37 53 934.05
38 51 574.1
38 53 933.15
51 53 377.4
